테이블 명,컬럼명,타입,
-- 회원 테이블,,,
MEMBER,ID,INT,PK
MEMBER,NAME,VARCHAR2(30),NOT NULL
MEMBER,NICKNAME,VARCHAR2(50),NOT NULL
MEMBER,PW,VARCHAR2(50),NOT NULL
-- 1:1 채팅방 테이블,,,
CHATTINGROOM,CHATTINGROOM_ID,NUMBER,PK
CHATTINGROOM,ROOMNAME,VARCHAR2(100),NOT NULL
CHATTINGROOM,UNAME1,NUMBER,FK → MEMBER(ID)
CHATTINGROOM,UNAME2,NUMBER,FK → MEMBER(ID)
-- 1:1 채팅 리스트 테이블,,,
CHATTINGLIST,CHATTINGLIST_ID,NUMBER,PK
CHATTINGLIST,CHATTINGROOM_ID,NUMBER,FK → CHATTINGROOM(CHATTINGROOM_ID) ON DELETE CASCADE
CHATTINGLIST,UNAME1,NUMBER,
CHATTINGLIST,UNAME2,NUMBER,
-- 1:1 채팅 메시지 테이블,,,
CHATMESSAGE,CHATTINGMESSAGE_ID,NUMBER,PK
CHATMESSAGE,CHATTINGROOM_ID,NUMBER,FK → CHATTINGROOM(CHATTINGROOM_ID) ON DELETE CASCADE
CHATMESSAGE,UNAME1,NUMBER,
CHATMESSAGE,CONTENT,VARCHAR2(4000),
CHATMESSAGE,REGDATE,DATE,DEFAULT SYSDATE
-- 그룹 채팅방 테이블,,,
MULTICHATTINGROOM,MULTICHATTINGROOM_ID,NUMBER,PK
MULTICHATTINGROOM,MULTIROOMNAME,VARCHAR2(100),NOT NULL
-- 그룹 채팅 리스트 테이블,,,
MULTICHATTINGLIST,MULTICHATTINGLIST_ID,NUMBER,PK
MULTICHATTINGLIST,MULTICHATTINGROOM_ID,NUMBER,FK → MULTICHATTINGROOM(MULTICHATTINGROOM_ID) ON DELETE CASCADE
MULTICHATTINGLIST,ID,NUMBER,FK → MEMBER(ID)
-- 그룹 채팅 메시지 테이블,,,
MULTICHATMESSAGE,MULTICHATTINGMESSAGE_ID,NUMBER,PK
MULTICHATMESSAGE,MULTICHATTINGROOM_ID,NUMBER,FK → MULTICHATTINGROOM(MULTICHATTINGROOM_ID) ON DELETE CASCADE
MULTICHATMESSAGE,UNAME1,NUMBER,
MULTICHATMESSAGE,CONTENT,VARCHAR2(4000),
MULTICHATMESSAGE,REGDATE,DATE,DEFAULT SYSDATE
,,,